time_s,channel_MHz,signal_dBm,noise_dBm,SNR_dB,BER,AvgSNR(dB),AvgBER,RandSeed,RunDateTime
0.122403,5210.000000,-80.430910,-93.965985,13.535075,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.122403,5210.000000,-78.130829,-93.965985,15.835156,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.122463,5210.000000,-76.054922,-93.965985,17.911063,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.122463,5210.000000,-80.754064,-93.965985,13.211921,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.122463,5210.000000,-73.434420,-93.965985,20.531565,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.122463,5210.000000,-78.409153,-93.965985,15.556832,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.122463,5210.000000,-75.988887,-93.965985,17.977098,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.122463,5210.000000,-78.686882,-93.965985,15.279103,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.122463,5210.000000,-76.232561,-93.965985,17.733424,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.122463,5210.000000,-70.011865,-93.965985,23.954120,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.122531,5210.000000,-79.303287,-93.965985,14.662698,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.122531,5210.000000,-76.964972,-93.965985,17.001013,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.122531,5210.000000,-81.200273,-93.965985,12.765712,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.122531,5210.000000,-74.145311,-93.965985,19.820674,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.122531,5210.000000,-76.183173,-93.965985,17.782812,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.122531,5210.000000,-75.674282,-93.965985,18.291703,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.122531,5210.000000,-78.246111,-93.965985,15.719874,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.122733,5210.000000,-76.185652,-81.054352,4.868700,0.006622,11.632674,0.000373,12345,23-Oct-2025_23-01
0.122733,5210.000000,-79.721306,-85.440577,5.719271,0.003148,11.632674,0.000373,12345,23-Oct-2025_23-01
0.123034,5210.000000,-78.377556,-82.877284,4.499728,0.008796,11.632674,0.000373,12345,23-Oct-2025_23-01
0.123034,5210.000000,-77.231535,-87.888620,10.657085,0.000001,11.632674,0.000373,12345,23-Oct-2025_23-01
0.123092,5210.000000,-74.603308,-93.965985,19.362678,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.123348,5210.000000,-75.503752,-76.312207,0.808455,0.060311,11.632674,0.000373,12345,23-Oct-2025_23-01
0.123348,5210.000000,-76.699451,-76.343983,-0.355468,0.087310,11.632674,0.000373,12345,23-Oct-2025_23-01
0.123348,5210.000000,-79.911338,-82.501831,2.590493,0.028349,11.632674,0.000373,12345,23-Oct-2025_23-01
0.123348,5210.000000,-75.377699,-78.586285,3.208586,0.020369,11.632674,0.000373,12345,23-Oct-2025_23-01
0.123413,5210.000000,-79.637341,-93.965985,14.328644,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.123633,5210.000000,-74.272672,-93.965985,19.693313,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.123633,5210.000000,-77.530352,-93.965985,16.435634,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.123633,5210.000000,-78.366408,-93.965985,15.599578,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.123633,5210.000000,-79.376667,-93.965985,14.589318,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.123633,5210.000000,-77.682281,-93.965985,16.283704,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.123633,5210.000000,-73.501448,-93.965985,20.464537,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.123633,5210.000000,-78.215976,-93.965985,15.750009,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.123693,5210.000000,-81.477454,-93.965985,12.488531,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.123693,5210.000000,-74.971792,-93.965985,18.994194,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.123693,5210.000000,-79.198325,-93.965985,14.767660,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.123693,5210.000000,-75.973258,-93.965985,17.992727,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.123693,5210.000000,-75.686965,-93.965985,18.279020,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.123693,5210.000000,-74.993035,-93.965985,18.972950,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.123693,5210.000000,-75.298410,-93.965985,18.667575,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.123693,5210.000000,-77.570928,-93.965985,16.395057,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.123761,5210.000000,-78.579840,-93.965985,15.386145,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
0.123761,5210.000000,-80.298353,-93.965985,13.667633,0.000000,11.632674,0.000373,12345,23-Oct-2025_23-01
