time_s,channel_MHz,Modulation,ConstellationSize,PhyRate_Mbps,signal_dBm,noise_dBm,SNR_dB,BER,RandSeed,RunDateTime
1.21412009e-01,5210,OFDM,2,6.00000000e+00,-7.74402192e+01,-9.39659852e+01,1.65257660e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21412009e-01,5210,OFDM,2,6.00000000e+00,-7.45375068e+01,-9.39659852e+01,1.94284784e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21412009e-01,5210,OFDM,2,6.00000000e+00,-7.74518100e+01,-9.39659852e+01,1.65141752e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21412009e-01,5210,OFDM,2,6.00000000e+00,-7.46548812e+01,-9.39659852e+01,1.93111040e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21412009e-01,5210,OFDM,2,6.00000000e+00,-7.95692982e+01,-9.39659852e+01,1.43966870e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21412009e-01,5210,OFDM,2,6.00000000e+00,-7.84706661e+01,-9.39659852e+01,1.54953191e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21412009e-01,5210,OFDM,2,6.00000000e+00,-7.69460233e+01,-9.39659852e+01,1.70199619e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21412009e-01,5210,OFDM,2,6.00000000e+00,-7.24678003e+01,-9.39659852e+01,2.14981849e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21412009e-01,5210,OFDM,2,6.00000000e+00,-7.97440210e+01,-9.39659852e+01,1.42219642e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21412010e-01,5210,OFDM,2,6.00000000e+00,-7.44439944e+01,-9.39659852e+01,1.95219907e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21412010e-01,5210,OFDM,2,6.00000000e+00,-7.42702554e+01,-9.39659852e+01,1.96957298e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21412010e-01,5210,OFDM,2,6.00000000e+00,-7.55314897e+01,-9.39659852e+01,1.84344954e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21412010e-01,5210,OFDM,2,6.00000000e+00,-7.42487790e+01,-9.39659852e+01,1.97172062e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21472011e-01,5210,OFDM,2,6.00000000e+00,-8.04440146e+01,-8.52165519e+01,4.77253729e+00,4.02677891e-13,-1.23950422e+02,12345,09-Dec-2025_16-49
1.21472012e-01,5210,OFDM,2,6.00000000e+00,-7.82530368e+01,-8.22901499e+01,4.03711306e+00,2.83059084e-11,-1.05481229e+02,12345,09-Dec-2025_16-49
1.21472012e-01,5210,OFDM,2,6.00000000e+00,-7.79387323e+01,-8.38327961e+01,5.89406376e+00,1.11022302e-16,-1.59545898e+02,12345,09-Dec-2025_16-49
1.21472013e-01,5210,OFDM,2,6.00000000e+00,-8.09374450e+01,-8.67249086e+01,5.78746364e+00,3.33066907e-16,-1.54774685e+02,12345,09-Dec-2025_16-49
1.21519006e-01,5210,OFDM,2,6.00000000e+00,-7.77038568e+01,-9.39659852e+01,1.62621284e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21519006e-01,5210,OFDM,2,6.00000000e+00,-7.52983949e+01,-9.39659852e+01,1.86675903e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21519006e-01,5210,OFDM,2,6.00000000e+00,-7.68159714e+01,-9.39659852e+01,1.71500138e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21519007e-01,5210,OFDM,2,6.00000000e+00,-7.39782276e+01,-9.39659852e+01,1.99877576e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21519007e-01,5210,OFDM,2,6.00000000e+00,-7.70311586e+01,-9.39659852e+01,1.69348266e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21519007e-01,5210,OFDM,2,6.00000000e+00,-7.12905354e+01,-9.39659852e+01,2.26754497e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21519008e-01,5210,OFDM,2,6.00000000e+00,-8.01376978e+01,-9.39659852e+01,1.38282874e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
1.21519009e-01,5210,OFDM,2,6.00000000e+00,-7.33359708e+01,-9.39659852e+01,2.06300144e+01,2.22507386e-308,-3.07652656e+03,12345,09-Dec-2025_16-49
