time_s,channel_MHz,Modulation,ConstellationSize,PhyRate_Mbps,signal_dBm,noise_dBm,SNR_dB,BER,RandSeed,RunDateTime
0.121472,5210,OFDM,2,6.000000,-80.937445,-86.724909,5.787464,0.000000,12345,24-Oct-2025_09-34
0.121589,5210,OFDM,2,6.000000,-75.298395,-79.989939,4.691544,0.000000,12345,24-Oct-2025_09-34
0.121597,5210,OFDM,2,6.000000,-73.739391,-93.965985,20.226594,0.000000,12345,24-Oct-2025_09-34
0.121597,5210,OFDM,2,6.000000,-75.347141,-93.965985,18.618845,0.000000,12345,24-Oct-2025_09-34
0.121597,5210,OFDM,2,6.000000,-74.976106,-93.965985,18.989879,0.000000,12345,24-Oct-2025_09-34
0.121597,5210,OFDM,2,6.000000,-77.410772,-93.965985,16.555213,0.000000,12345,24-Oct-2025_09-34
0.121597,5210,OFDM,2,6.000000,-75.339805,-93.965985,18.626180,0.000000,12345,24-Oct-2025_09-34
0.121597,5210,OFDM,2,6.000000,-72.674356,-93.965985,21.291629,0.000000,12345,24-Oct-2025_09-34
0.121597,5210,OFDM,2,6.000000,-72.127577,-93.965985,21.838408,0.000000,12345,24-Oct-2025_09-34
0.121818,5210,OFDM,2,6.000000,-80.003958,-79.406148,-0.597810,0.000076,12345,24-Oct-2025_09-34
0.121818,5210,OFDM,2,6.000000,-77.536976,-79.081070,1.544095,0.000001,12345,24-Oct-2025_09-34
0.121818,5210,OFDM,2,6.000000,-72.305353,-75.368949,3.063597,0.000000,12345,24-Oct-2025_09-34
0.121826,5210,OFDM,2,6.000000,-74.537182,-93.965985,19.428803,0.000000,12345,24-Oct-2025_09-34
0.121826,5210,OFDM,2,6.000000,-77.060230,-93.965985,16.905755,0.000000,12345,24-Oct-2025_09-34
0.121826,5210,OFDM,2,6.000000,-74.974004,-93.965985,18.991981,0.000000,12345,24-Oct-2025_09-34
0.121826,5210,OFDM,2,6.000000,-77.373081,-93.965985,16.592904,0.000000,12345,24-Oct-2025_09-34
0.121826,5210,OFDM,2,6.000000,-76.101960,-93.965985,17.864025,0.000000,12345,24-Oct-2025_09-34
0.121826,5210,OFDM,2,6.000000,-71.114721,-93.965985,22.851264,0.000000,12345,24-Oct-2025_09-34
0.121826,5210,OFDM,2,6.000000,-79.065783,-93.965985,14.900202,0.000000,12345,24-Oct-2025_09-34
0.121826,5210,OFDM,2,6.000000,-77.357535,-93.965985,16.608450,0.000000,12345,24-Oct-2025_09-34
0.121826,5210,OFDM,2,6.000000,-77.963394,-93.965985,16.002591,0.000000,12345,24-Oct-2025_09-34
0.121826,5210,OFDM,2,6.000000,-75.849429,-93.965985,18.116557,0.000000,12345,24-Oct-2025_09-34
0.121826,5210,OFDM,2,6.000000,-75.936958,-93.965985,18.029027,0.000000,12345,24-Oct-2025_09-34
0.121826,5210,OFDM,2,6.000000,-78.624522,-93.965985,15.341463,0.000000,12345,24-Oct-2025_09-34
0.121826,5210,OFDM,2,6.000000,-75.533144,-93.965985,18.432841,0.000000,12345,24-Oct-2025_09-34
0.121826,5210,OFDM,2,6.000000,-76.986406,-93.965985,16.979580,0.000000,12345,24-Oct-2025_09-34
0.121826,5210,OFDM,2,6.000000,-81.460635,-93.965985,12.505350,0.000000,12345,24-Oct-2025_09-34
0.121826,5210,OFDM,2,6.000000,-73.235029,-93.965985,20.730956,0.000000,12345,24-Oct-2025_09-34
